# STATION: OJIM4,,,,,,,,,,,,,,,,,,,,
# STATION NAME: OJIBWAY,,,,,,,,,,,,,,,,,,,,
# LATITUDE: 48.109083,,,,,,,,,,,,,,,,,,,,
# LONGITUDE: -88.607267,,,,,,,,,,,,,,,,,,,,
# ELEVATION [ft]: 1133,,,,,,,,,,,,,,,,,,,,
# STATE: MI,,,,,,,,,,,,,,,,,,,,
Station_ID,Date_Time,snow_interval_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,snow_depth_set_1,solar_radiation_set_1,precip_accum_set_1,water_temp_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Inches,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,volts,Inches,W/m**2,Inches,Fahrenheit,Miles/hour,Fahrenheit,gm,Degrees,Fahrenheit,Fahrenheit,Code,Fahrenheit
OJIM4,09/14/2017 09:24 UTC,,59,92,8.01,105,17,13,,0,12.07,,17,,,98,56.66,,ESE,
OJIM4,09/14/2017 10:24 UTC,,57,93,8.01,116,20,12.9,,0,12.07,,20,,,92,54.98,,ESE,
OJIM4,09/14/2017 11:24 UTC,,57,95,4.99,95,15.99,12.9,,0,12.07,,15.99,,,106,55.57,,E,
OJIM4,09/14/2017 12:24 UTC,,57.99,94,5.99,114,11.01,13,,8,12.07,,11.01,,,132,56.26,,ESE,
OJIM4,09/14/2017 13:24 UTC,,57.99,86,14.99,9,28.99,13.1,,49,12.07,,28.99,,,346,53.79,,N,
OJIM4,09/14/2017 14:24 UTC,,59,85,8.01,96,25.99,14,,178,12.07,,25.99,,,6,54.46,,E,
OJIM4,09/14/2017 15:24 UTC,,59,85,11.01,107,25.99,13.6,,296,12.07,,25.99,,,112,54.46,,ESE,
OJIM4,09/14/2017 16:24 UTC,,59,87,4,86,22.01,13.5,,295,12.07,,22.01,,,113,55.1,,E,
OJIM4,09/14/2017 17:24 UTC,,59,88,8.01,106,17,13.6,,203,12.07,,17,,,97,55.42,,ESE,
OJIM4,09/14/2017 18:24 UTC,,64,81,3,77,14.99,13.5,,431,12.07,,14.99,,,102,58.01,,ENE,
OJIM4,09/14/2017 19:24 UTC,,64,80,4,112,8.99,13.4,,456,12.07,,8.99,,,108,57.66,,ESE,
OJIM4,09/14/2017 20:24 UTC,,60.01,86,8.01,6,14,13.5,,328,12.07,,14,,,15,55.77,,N,
OJIM4,09/14/2017 21:24 UTC,,57,95,8.99,6,17,13.7,,183,12.07,,17,,,6,55.57,,N,
OJIM4,09/14/2017 22:24 UTC,,57,97,8.01,10,18.99,13.8,,115,12.07,,18.99,,,26,56.15,,N,
OJIM4,09/14/2017 23:24 UTC,,57,98,8.99,13,15.99,13.6,,44,12.07,,15.99,,,3,56.43,,NNE,
OJIM4,09/15/2017 00:24 UTC,,55.99,98,12.01,15,21,13.4,,6,12.07,,21,,,38,55.43,,NNE,
OJIM4,09/15/2017 01:24 UTC,,57,98,8.99,36,23,13.3,,0,12.07,,23,,,22,56.43,,NE,
OJIM4,09/15/2017 02:24 UTC,,57,98,4.99,73,37,13.2,,0,12.08,,37,,,303,56.43,,ENE,
OJIM4,09/15/2017 03:24 UTC,,57,97,4.99,33,11.01,13.1,,0,12.15,,11.01,,,46,56.15,,NNE,
OJIM4,09/15/2017 04:24 UTC,,55.99,98,4,97,18.99,13.1,,0,12.24,,18.99,,,37,55.43,,E,
OJIM4,09/15/2017 05:24 UTC,,55.99,98,3,118,14,13,,0,12.25,,14,,,111,55.43,,ESE,
OJIM4,09/15/2017 06:24 UTC,,55.99,99,4.99,17,17,13,,0,12.49,,17,,,272,55.71,,NNE,
OJIM4,09/15/2017 07:24 UTC,,55.99,99,4.99,358,8.99,13,,0,12.58,,8.99,,,30,55.71,,N,
OJIM4,09/15/2017 08:24 UTC,,55.99,99,7,354,15.99,13,,0,12.7,,15.99,,,17,55.71,,N,
OJIM4,09/15/2017 09:24 UTC,,55,99,10,0,14.99,13,,0,12.8,,14.99,,,2,54.72,,N,
OJIM4,09/15/2017 10:24 UTC,,54,99,12.01,355,20,12.9,,0,12.82,,20,,,2,53.72,,N,
OJIM4,09/15/2017 11:24 UTC,,53.01,99,12.01,350,21,12.9,,0,12.82,,21,,,3,52.73,,N,
OJIM4,09/15/2017 12:24 UTC,,52,99,13,357,22.01,12.9,,9,12.82,,22.01,,,3,51.72,,N,
OJIM4,09/15/2017 13:24 UTC,,51.01,99,14.99,349,24.99,13.1,,50,12.82,,24.99,,,2,50.74,,N,
OJIM4,09/15/2017 14:24 UTC,,51.01,99,12.01,3,24,13.2,,62,12.82,,24,,,0,50.74,,N,
OJIM4,09/15/2017 15:24 UTC,,51.01,99,12.01,3,24,13.6,,122,12.82,,24,,,23,50.74,,N,
OJIM4,09/15/2017 16:24 UTC,,52,95,12.01,16,22.01,13.6,,265,12.82,,22.01,,,13,50.6,,NNE,
OJIM4,09/15/2017 17:24 UTC,,53.01,91,14,15,23,13.7,,268,12.82,,23,,,17,50.43,,NNE,
OJIM4,09/15/2017 18:24 UTC,,53.01,89,14,20,24.99,13.6,,368,12.82,,24.99,,,21,49.82,,NNE,
OJIM4,09/15/2017 19:24 UTC,,55,87,5.99,42,27,13.6,,418,12.82,,27,,,12,51.16,,NE,
OJIM4,09/15/2017 20:24 UTC,,54,90,8.99,22,18.99,13.9,,183,12.82,,18.99,,,44,51.1,,NNE,
OJIM4,09/15/2017 21:24 UTC,,53.01,94,11.01,14,22.01,13.6,,148,12.82,,22.01,,,27,51.31,,NNE,
OJIM4,09/15/2017 22:24 UTC,,52,93,8.01,39,24.99,13.6,,56,12.82,,24.99,,,31,50.02,,NE,
OJIM4,09/15/2017 23:24 UTC,,52,93,11.01,47,22.01,13.5,,13,12.82,,22.01,,,56,50.02,,NE,
