Unix.Timestamp	Date.CST	Time.CST	Battery	Temperature	Dissolved.Oxygen	Dissolved.Oxygen.Saturation	Q
1527764460	2018-05-31	6:01:00	3.56	24.503	7.824	96.031247	0.969
1527765060	2018-05-31	6:11:00	3.55	24.11	7.897	96.219358	0.969
1527765660	2018-05-31	6:21:00	3.56	23.524	7.985	96.226543	0.969
1527766260	2018-05-31	6:31:00	3.56	22.88	8.079	96.178201	0.968
1527766860	2018-05-31	6:41:00	3.56	22.261	8.184	96.281209	0.969
1527767460	2018-05-31	6:51:00	3.56	21.66	8.27	96.170474	0.969
1527768060	2018-05-31	7:01:00	3.56	20.992	8.375	96.131336	0.969
1527768660	2018-05-31	7:11:00	3.56	20.373	8.479	96.145975	0.97
1527769260	2018-05-31	7:21:00	3.56	19.879	8.553	96.03803	0.969
1527769860	2018-05-31	7:31:00	3.56	19.435	8.67	96.490589	0.97
1527770460	2018-05-31	7:41:00	3.56	19.301	8.696	96.519573	0.97
1527771060	2018-05-31	7:51:00	3.56	19.141	8.725	96.529707	0.97
1527771660	2018-05-31	8:01:00	3.56	19.133	8.719	96.447755	0.97
1527772260	2018-05-31	8:11:00	3.56	19.192	8.688	96.21928	0.97
1527772860	2018-05-31	8:21:00	3.56	19.485	8.647	96.331261	0.97
1527773460	2018-05-31	8:31:00	3.56	19.77	8.629	96.68084	0.97
1527774060	2018-05-31	8:41:00	3.55	19.98	8.601	96.77156	0.97
1527774660	2018-05-31	8:51:00	3.56	19.963	8.613	96.873775	0.97
1527775260	2018-05-31	9:01:00	3.55	20.021	8.587	96.692916	0.969
1527775860	2018-05-31	9:11:00	3.56	19.988	8.607	96.854492	0.97
1527776460	2018-05-31	9:21:00	3.55	19.963	8.606	96.795044	0.969
1527777060	2018-05-31	9:31:00	3.55	20.013	8.606	96.891439	0.97
1527777660	2018-05-31	9:41:00	3.56	20.097	8.59	96.872988	0.969
1527778260	2018-05-31	9:51:00	3.56	20.256	8.56	96.8398	0.97
1527778860	2018-05-31	10:01:00	3.56	20.415	8.545	96.974901	0.97
1527779460	2018-05-31	10:11:00	3.55	20.707	8.494	96.953043	0.969
1527780060	2018-05-31	10:21:00	3.56	20.883	8.478	97.105785	0.97
1527780660	2018-05-31	10:31:00	3.55	21.083	8.452	97.188213	0.969
1527781260	2018-05-31	10:41:00	3.56	21.259	8.418	97.130764	0.969
1527781860	2018-05-31	10:51:00	3.56	21.376	8.398	97.12131	0.969
1527782460	2018-05-31	11:01:00	3.55	21.693	8.341	97.058211	0.969
1527783060	2018-05-31	11:11:00	3.55	22.019	8.298	97.168519	0.969
