7450-854914
OS REV: 1.03 Sensor Cal: 1524171630
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1530635280,+3.51,+10.568, +0.453,+1.001
1530635880,+3.51,+10.559, +0.453,+1.001
1530636480,+3.51,+10.650, +0.451,+1.001
1530637080,+3.51,+10.568, +0.448,+1.000
1530637680,+3.51,+10.486, +0.427,+1.000
1530638280,+3.51,+10.568, +0.429,+1.000
1530638880,+3.51,+10.532, +0.414,+1.000
1530639480,+3.51,+10.468, +0.358,+0.999
1530640080,+3.51,+10.468, +0.332,+0.999
1530640680,+3.51,+10.523, +0.346,+0.999
1530641280,+3.51,+10.559, +0.343,+0.999
1530641880,+3.51,+10.496, +0.316,+0.998
1530642480,+3.51,+10.468, +0.298,+0.998
1530643080,+3.51,+10.505, +0.296,+0.998
1530643680,+3.51,+10.514, +0.296,+0.998
1530644280,+3.51,+10.559, +0.303,+0.998
1530644880,+3.51,+10.514, +0.331,+0.999
1530645480,+3.51,+10.450, +0.312,+0.998
1530646080,+3.51,+10.523, +0.283,+0.998
1530646680,+3.51,+10.514, +0.299,+0.998
1530647280,+3.51,+10.505, +0.365,+0.999
1530647880,+3.51,+10.450, +0.365,+0.999
1530648480,+3.51,+10.486, +0.360,+0.999
1530649080,+3.51,+10.496, +0.351,+0.999
1530649680,+3.51,+10.459, +0.337,+0.999
1530650280,+3.51,+10.496, +0.318,+0.999
1530650880,+3.51,+10.514, +0.321,+0.999
1530651480,+3.51,+10.496, +0.360,+0.999
1530652080,+3.51,+10.523, +0.340,+0.999
1530652680,+3.51,+10.468, +0.367,+0.999
1530653280,+3.51,+10.486, +0.349,+0.999
1530653880,+3.51,+10.568, +0.348,+0.999
1530654480,+3.51,+10.523, +0.341,+0.999
1530655080,+3.51,+10.505, +0.316,+0.998
1530655680,+3.51,+10.459, +0.290,+0.998
1530656280,+3.51,+10.459, +0.309,+0.998
1530656880,+3.51,+10.450, +0.328,+0.999
1530657480,+3.51,+10.577, +0.331,+0.999
1530658080,+3.51,+10.532, +0.394,+1.000
1530658680,+3.51,+10.568, +0.482,+1.001
1530659280,+3.51,+10.650, +0.513,+1.001
1530659880,+3.51,+10.596, +0.451,+1.001
1530660480,+3.51,+10.623, +0.425,+1.000
1530661080,+3.51,+10.568, +0.420,+1.000
1530661680,+3.51,+10.541, +0.421,+1.000
1530662280,+3.51,+10.550, +0.407,+1.000
1530662880,+3.51,+10.523, +0.376,+0.999
1530663480,+3.51,+10.541, +0.350,+0.999
1530664080,+3.51,+10.532, +0.334,+0.999
1530664680,+3.51,+10.532, +0.330,+0.999
1530665280,+3.51,+10.505, +0.328,+0.999
1530665880,+3.51,+10.550, +0.332,+0.999
1530666480,+3.51,+10.477, +0.333,+0.999
1530667080,+3.51,+10.514, +0.344,+0.999
1530667680,+3.51,+10.486, +0.346,+0.999
1530668280,+3.51,+10.559, +0.345,+0.999
1530668880,+3.51,+10.532, +0.339,+0.999
1530669480,+3.51,+10.486, +0.329,+0.999
1530670080,+3.51,+10.486, +0.311,+0.998
1530670680,+3.51,+10.514, +0.291,+0.998
1530671280,+3.51,+10.459, +0.277,+0.998
1530671880,+3.51,+10.432, +0.284,+0.998
1530672480,+3.51,+10.505, +0.291,+0.998
1530673080,+3.51,+10.505, +0.284,+0.998
1530673680,+3.51,+10.505, +0.294,+0.998
1530674280,+3.51,+10.550, +0.294,+0.998
1530674880,+3.51,+10.468, +0.298,+0.998
1530675480,+3.51,+10.532, +0.298,+0.998
1530676080,+3.51,+10.514, +0.318,+0.999
1530676680,+3.51,+10.514, +0.337,+0.999
1530677280,+3.51,+10.568, +0.334,+0.999
1530677880,+3.51,+10.568, +0.326,+0.999
1530678480,+3.51,+10.559, +0.321,+0.999
1530679080,+3.51,+10.568, +0.342,+0.999
1530679680,+3.51,+10.496, +0.352,+0.999
1530680280,+3.51,+10.550, +0.356,+0.999
1530680880,+3.51,+10.614, +0.354,+0.999
1530681480,+3.51,+10.514, +0.366,+0.999
1530682080,+3.51,+10.586, +0.380,+1.000
1530682680,+3.51,+10.596, +0.393,+1.000
1530683280,+3.51,+10.550, +0.405,+1.000
1530683880,+3.51,+10.559, +0.383,+1.000
1530684480,+3.51,+10.541, +0.369,+0.999
1530685080,+3.51,+10.596, +0.352,+0.999
1530685680,+3.51,+10.596, +0.344,+0.999
1530686280,+3.51,+10.568, +0.336,+0.999
1530686880,+3.51,+10.550, +0.333,+0.999
1530687480,+3.51,+10.532, +0.328,+0.999
1530688080,+3.51,+10.541, +0.322,+0.999
1530688680,+3.51,+10.586, +0.313,+0.999
1530689280,+3.51,+10.568, +0.312,+0.998
1530689880,+3.51,+10.523, +0.343,+0.999
1530690480,+3.51,+10.568, +0.413,+1.000
1530691080,+3.51,+10.541, +0.411,+1.000
1530691680,+3.51,+10.514, +0.384,+1.000
1530692280,+3.51,+10.577, +0.377,+1.000
1530692880,+3.51,+10.586, +0.416,+1.000
1530693480,+3.51,+10.568, +0.416,+1.000
1530694080,+3.51,+10.577, +0.396,+1.000
1530694680,+3.51,+10.577, +0.367,+0.999
1530695280,+3.51,+10.505, +0.320,+0.998
1530695880,+3.51,+10.496, +0.299,+0.998
1530696480,+3.51,+10.505, +0.271,+0.998
1530697080,+3.51,+10.486, +0.251,+0.998
1530697680,+3.51,+10.541, +0.254,+0.997
1530698280,+3.51,+10.468, +0.252,+0.998
1530698880,+3.51,+10.441, +0.238,+0.997
1530699480,+3.51,+10.486, +0.249,+0.998
1530700080,+3.51,+10.541, +0.253,+0.998
1530700680,+3.51,+10.541, +0.247,+0.998
1530701280,+3.51,+10.550, +0.260,+0.998
1530701880,+3.51,+10.523, +0.292,+0.998
1530702480,+3.51,+10.532, +0.306,+0.998
1530703080,+3.51,+10.550, +0.302,+0.998
1530703680,+3.51,+10.541, +0.294,+0.998
1530704280,+3.51,+10.559, +0.282,+0.998
1530704880,+3.51,+10.505, +0.279,+0.998
1530705480,+3.51,+10.496, +0.293,+0.998
1530706080,+3.51,+10.541, +0.297,+0.998
1530706680,+3.51,+10.550, +0.292,+0.998
1530707280,+3.51,+10.586, +0.302,+0.999
1530707880,+3.52,+10.596, +0.305,+0.998
1530708480,+3.52,+10.532, +0.358,+0.999
1530709080,+3.51,+10.568, +0.391,+1.000
1530709680,+3.51,+10.514, +0.379,+0.999
1530710280,+3.51,+10.523, +0.374,+0.999
1530710880,+3.51,+10.541, +0.387,+1.000
1530711480,+3.51,+10.559, +0.400,+1.000
1530712080,+3.51,+10.559, +0.423,+1.000
1530712680,+3.51,+10.623, +0.443,+1.001
1530713280,+3.51,+10.586, +0.468,+1.001
1530713880,+3.51,+10.605, +0.479,+1.001
1530714480,+3.52,+10.586, +0.500,+1.001
1530715080,+3.51,+10.650, +0.499,+1.001
1530715680,+3.51,+10.586, +0.487,+1.001
1530716280,+3.51,+10.668, +0.473,+1.001
1530716880,+3.51,+10.659, +0.471,+1.001
1530717480,+3.51,+10.614, +0.476,+1.001
1530718080,+3.51,+10.641, +0.453,+1.001
1530718680,+3.51,+10.650, +0.430,+1.000
1530719280,+3.51,+10.605, +0.406,+1.000
1530719880,+3.51,+10.650, +0.384,+1.000
1530720480,+3.51,+10.650, +0.379,+0.999
1530721080,+3.51,+10.605, +0.407,+1.000
1530721680,+3.51,+10.704, +0.446,+1.001
