7450-326790
OS REV: 1.03 Sensor Cal: 1524171803
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1535246160,+3.49,+10.333, +1.472,+0.956
1535246760,+3.49,+10.224, +1.416,+0.956
1535247360,+3.50,+10.160, +1.374,+0.956
1535247960,+3.50,+10.270, +1.362,+0.956
1535248560,+3.50,+10.178, +1.364,+0.956
1535249160,+3.50,+10.160, +1.348,+0.956
1535249760,+3.49,+10.197, +1.331,+0.956
1535250360,+3.49,+10.242, +1.378,+0.956
1535250960,+3.50,+10.288, +1.460,+0.956
1535251560,+3.50,+10.315, +1.496,+0.956
1535252160,+3.50,+10.343, +1.538,+0.956
1535252760,+3.50,+10.333, +1.515,+0.956
1535253360,+3.50,+10.279, +1.472,+0.956
1535253960,+3.50,+10.169, +1.431,+0.956
1535254560,+3.50,+10.151, +1.356,+0.956
1535255160,+3.50,+10.215, +1.354,+0.956
1535255760,+3.50,+10.306, +1.431,+0.956
1535256360,+3.50,+10.352, +1.456,+0.956
1535256960,+3.50,+10.397, +1.477,+0.956
1535257560,+3.50,+10.479, +1.520,+0.956
1535258160,+3.50,+10.461, +1.533,+0.956
1535258760,+3.50,+10.570, +1.549,+0.956
1535259360,+3.50,+10.661, +1.654,+0.957
1535259960,+3.50,+10.652, +1.721,+0.957
1535260560,+3.50,+10.642, +1.727,+0.957
1535261160,+3.50,+10.642, +1.730,+0.957
1535261760,+3.50,+10.733, +1.777,+0.957
1535262360,+3.50,+10.742, +1.768,+0.957
1535262960,+3.50,+10.615, +1.736,+0.957
1535263560,+3.50,+10.570, +1.679,+0.957
1535264160,+3.50,+10.561, +1.695,+0.957
1535264760,+3.50,+10.497, +1.723,+0.957
1535265360,+3.50,+10.397, +1.757,+0.957
1535265960,+3.50,+10.379, +1.799,+0.957
1535266560,+3.50,+10.379, +1.801,+0.957
1535267160,+3.50,+10.379, +1.818,+0.957
1535267760,+3.50,+10.479, +1.818,+0.957
1535268360,+3.50,+10.452, +1.830,+0.957
1535268960,+3.50,+10.388, +1.794,+0.957
1535269560,+3.50,+10.443, +1.808,+0.957
1535270160,+3.50,+10.333, +1.788,+0.957
1535270760,+3.50,+10.361, +1.804,+0.957
1535271360,+3.50,+10.379, +1.795,+0.957
1535271960,+3.50,+10.461, +1.815,+0.957
1535272560,+3.50,+10.552, +1.865,+0.957
1535273160,+3.50,+10.561, +1.931,+0.958
1535273760,+3.50,+10.588, +1.977,+0.958
1535274360,+3.50,+10.524, +1.976,+0.958
1535274960,+3.50,+10.633, +2.000,+0.958
1535275560,+3.50,+10.552, +1.949,+0.957
1535276160,+3.50,+10.633, +1.968,+0.957
1535276760,+3.50,+10.652, +1.983,+0.958
1535277360,+3.50,+10.751, +1.963,+0.957
1535277960,+3.50,+10.570, +1.930,+0.957
1535278560,+3.50,+10.633, +1.905,+0.957
1535279160,+3.50,+10.697, +1.947,+0.957
1535279760,+3.50,+10.552, +1.921,+0.957
1535280360,+3.50,+10.534, +1.885,+0.957
1535280960,+3.50,+10.588, +1.908,+0.957
1535281560,+3.50,+10.597, +1.900,+0.957
1535282160,+3.50,+10.652, +1.847,+0.957
1535282760,+3.50,+10.661, +1.799,+0.957
1535283360,+3.50,+10.452, +1.743,+0.957
1535283960,+3.50,+10.452, +1.666,+0.957
1535284560,+3.50,+10.288, +1.577,+0.957
1535285160,+3.50,+10.251, +1.506,+0.956
1535285760,+3.50,+10.333, +1.477,+0.956
1535286360,+3.50,+10.306, +1.471,+0.956
1535286960,+3.50,+10.324, +1.468,+0.956
1535287560,+3.50,+10.260, +1.469,+0.956
1535288160,+3.50,+10.370, +1.456,+0.956
1535288760,+3.50,+10.370, +1.431,+0.956
1535289360,+3.50,+10.534, +1.419,+0.956
1535289960,+3.50,+10.506, +1.434,+0.956
1535290560,+3.50,+10.524, +1.383,+0.956
1535291160,+3.50,+10.688, +1.475,+0.956
1535291760,+3.50,+10.733, +1.724,+0.957
1535292360,+3.50,+10.778, +1.793,+0.957
1535292960,+3.50,+10.842, +1.824,+0.957
1535293560,+3.50,+10.787, +1.845,+0.957
1535294160,+3.50,+10.688, +1.828,+0.957
1535294760,+3.50,+10.697, +1.788,+0.957
1535295360,+3.50,+10.661, +1.766,+0.957
1535295960,+3.50,+10.597, +1.725,+0.957
1535296560,+3.50,+10.506, +1.664,+0.957
1535297160,+3.50,+10.515, +1.605,+0.957
1535297760,+3.50,+10.515, +1.668,+0.957
