MiniDOT Logger Concatenated Data File
Sensor:             7450-457033
Concatenation Date: 2018Sep12 08:45:22 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 208.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1527851280,           2018-06-01 11:08:00,           2018-06-01 06:08:00,      3.550000,     21.907000,          8.372000,                    98.038855,      0.982000
                1527851880,           2018-06-01 11:18:00,           2018-06-01 06:18:00,      3.550000,     21.230000,          8.494000,                    98.167836,      0.982000
                1527852480,           2018-06-01 11:28:00,           2018-06-01 06:28:00,      3.550000,     20.268000,          8.657000,                    98.175774,      0.982000
                1527853080,           2018-06-01 11:38:00,           2018-06-01 06:38:00,      3.560000,     19.103000,          8.847000,                    98.019017,      0.982000
                1527853680,           2018-06-01 11:48:00,           2018-06-01 06:48:00,      3.560000,     18.127000,          8.967000,                    97.394472,      0.981000
                1527854280,           2018-06-01 11:58:00,           2018-06-01 06:58:00,      3.550000,     17.342000,          9.102000,                    97.271319,      0.981000
                1527854880,           2018-06-01 12:08:00,           2018-06-01 07:08:00,      3.550000,     16.604000,          9.229000,                    97.118319,      0.982000
                1527855480,           2018-06-01 12:18:00,           2018-06-01 07:18:00,      3.560000,     16.085000,          9.287000,                    96.662824,      0.982000
                1527856080,           2018-06-01 12:28:00,           2018-06-01 07:28:00,      3.550000,     15.477000,          9.394000,                    96.516657,      0.982000
                1527856680,           2018-06-01 12:38:00,           2018-06-01 07:38:00,      3.550000,     14.987000,          9.510000,                    96.683110,      0.983000
                1527857280,           2018-06-01 12:48:00,           2018-06-01 07:48:00,      3.550000,     14.608000,          9.614000,                    96.940247,      0.983000
                1527857880,           2018-06-01 12:58:00,           2018-06-01 07:58:00,      3.550000,     14.105000,          9.743000,                    97.166957,      0.983000
                1527858480,           2018-06-01 13:08:00,           2018-06-01 08:08:00,      3.550000,     13.688000,          9.847000,                    97.306194,      0.983000
                1527859080,           2018-06-01 13:18:00,           2018-06-01 08:18:00,      3.550000,     13.347000,          9.954000,                    97.622617,      0.983000
                1527859680,           2018-06-01 13:28:00,           2018-06-01 08:28:00,      3.550000,     13.022000,         10.027000,                    97.628360,      0.983000
                1527860280,           2018-06-01 13:38:00,           2018-06-01 08:38:00,      3.550000,     12.670000,         10.108000,                    97.642903,      0.984000
                1527860880,           2018-06-01 13:48:00,           2018-06-01 08:48:00,      3.550000,     12.440000,         10.168000,                    97.714422,      0.984000
                1527861480,           2018-06-01 13:58:00,           2018-06-01 08:58:00,      3.550000,     12.520000,         10.145000,                    97.669649,      0.984000
                1527862080,           2018-06-01 14:08:00,           2018-06-01 09:08:00,      3.550000,     12.555000,         10.144000,                    97.737148,      0.983000
                1527862680,           2018-06-01 14:18:00,           2018-06-01 09:18:00,      3.550000,     12.661000,         10.123000,                    97.767998,      0.983000
                1527863280,           2018-06-01 14:28:00,           2018-06-01 09:28:00,      3.550000,     12.776000,         10.107000,                    97.866192,      0.983000
                1527863880,           2018-06-01 14:38:00,           2018-06-01 09:38:00,      3.550000,     11.836000,         12.283000,                   116.431180,      0.983000
                1527864480,           2018-06-01 14:48:00,           2018-06-01 09:48:00,      3.550000,     11.594000,         12.410000,                   116.985361,      0.984000
                1527865080,           2018-06-01 14:58:00,           2018-06-01 09:58:00,      3.550000,     11.343000,         12.329000,                   115.553243,      0.984000
                1527865680,           2018-06-01 15:08:00,           2018-06-01 10:08:00,      3.550000,     11.505000,         12.390000,                   116.558495,      0.985000
