Unix.Timestamp	Date.CST	Time.CST	Battery	Temperature	Dissolved.Oxygen	Dissolved.Oxygen.Saturation	Q
1527851040	2018-06-01	06:04:00	3.55	22.353	8.304	98.081566	0.999
1527851640	2018-06-01	06:14:00	3.54	22.161	8.333	98.061453	0.998
1527852240	2018-06-01	06:24:00	3.54	21.777	8.404	98.166381	0.998
1527852840	2018-06-01	06:34:00	3.55	21.252	8.499	98.267825	0.999
1527853440	2018-06-01	06:44:00	3.54	20.659	8.555	97.771614	0.999
1527854040	2018-06-01	06:54:00	3.55	20.158	8.617	97.50911	0.998
1527854640	2018-06-01	07:04:00	3.54	19.581	8.704	97.366418	0.999
1527855240	2018-06-01	07:14:00	3.55	19.011	8.808	97.405661	0.999
1527855840	2018-06-01	07:24:00	3.54	18.533	8.845	96.870226	1
1527856440	2018-06-01	07:34:00	3.54	18.079	8.919	96.77774	0.999
1527857040	2018-06-01	07:44:00	3.54	17.624	9.005	96.798999	1
1527857640	2018-06-01	07:54:00	3.54	17.1	9.155	97.345945	1
1527858240	2018-06-01	08:04:00	3.54	16.515	9.282	97.4932	1.001
1527858840	2018-06-01	08:14:00	3.54	16.039	9.413	97.878652	1.001
1527859440	2018-06-01	08:24:00	3.54	15.603	9.496	97.828277	1
1527860040	2018-06-01	08:34:00	3.54	15.226	9.573	97.826752	1.001
1527860640	2018-06-01	08:44:00	3.54	14.857	9.658	97.911867	1.001
1527861240	2018-06-01	08:54:00	3.54	14.555	9.72	97.896051	1.001
1527861840	2018-06-01	09:04:00	3.54	14.382	9.757	97.898579	1.002
1527862440	2018-06-01	09:14:00	3.54	14.166	9.805	97.916226	1.001
1527863040	2018-06-01	09:24:00	3.54	13.966	9.846	97.894691	1.001
1527863640	2018-06-01	09:34:00	3.54	11.579	8.567	80.730769	0.998
1527864240	2018-06-01	09:44:00	3.54	7.818	7.853	67.684575	1.004
1527864840	2018-06-01	09:54:00	3.54	7.619	7.722	66.230655	1.004
1527865440	2018-06-01	10:04:00	3.54	7.562	7.681	65.786529	1.004
1527866040	2018-06-01	10:14:00	3.54	7.505	7.664	65.548691	1.004
1527866640	2018-06-01	10:24:00	3.54	7.428	7.928	67.677795	1.004
1527867240	2018-06-01	10:34:00	3.54	7.466	7.867	67.22015	1.003
1527867840	2018-06-01	10:44:00	3.54	7.371	7.806	66.542472	1.003
1527868440	2018-06-01	10:54:00	3.54	7.476	7.652	65.399217	1.003
1527869040	2018-06-01	11:04:00	3.54	7.447	7.703	65.787954	1.003
1527869640	2018-06-01	11:14:00	3.54	7.438	7.892	67.387132	1.003
1527870240	2018-06-01	11:24:00	3.54	7.457	7.864	67.179579	1.003
1527870840	2018-06-01	11:34:00	3.53	7.485	7.931	67.798807	1.003
1527871440	2018-06-01	11:44:00	3.54	7.476	7.89	67.433327	1.003
1527872040	2018-06-01	11:54:00	3.53	7.485	7.871	67.285892	1.003
1527872640	2018-06-01	12:04:00	3.53	7.457	7.897	67.461488	1.003
1527873240	2018-06-01	12:14:00	3.53	7.505	7.871	67.319121	1.003
1527873840	2018-06-01	12:24:00	3.53	7.457	7.904	67.521286	1.003
1527874440	2018-06-01	12:34:00	3.53	7.38	8.113	69.174904	1.003
1527875040	2018-06-01	12:44:00	3.53	7.428	7.699	65.722925	1.003
1527875640	2018-06-01	12:54:00	3.53	7.4	7.599	64.824379	1.003
1527876240	2018-06-01	13:04:00	3.53	7.38	7.803	66.531711	1.003
1527876840	2018-06-01	13:14:00	3.53	7.428	8.089	69.05218	1.003
1527877440	2018-06-01	13:24:00	3.53	7.419	8.097	69.105097	1.003
1527878040	2018-06-01	13:34:00	3.53	7.438	8.231	70.281739	1.003
1527878640	2018-06-01	13:44:00	3.53	7.409	8.196	69.932737	1.003
1527879240	2018-06-01	13:54:00	3.53	7.447	8.172	69.793477	1.003
1527879840	2018-06-01	14:04:00	3.53	7.495	8.007	68.4654	1.003
1527880440	2018-06-01	14:14:00	3.53	7.495	8.094	69.209311	1.003
1527881040	2018-06-01	14:24:00	3.53	7.438	8.075	68.949707	1.003
1527881640	2018-06-01	14:34:00	3.53	7.514	8.037	68.754157	1.003
1527882240	2018-06-01	14:44:00	3.53	7.505	7.968	68.148743	1.003
1527882840	2018-06-01	14:54:00	3.53	7.476	7.977	68.176889	1.003
1527883440	2018-06-01	15:04:00	3.53	7.457	8.09	69.110223	1.003
1527884040	2018-06-01	15:14:00	3.53	7.562	7.789	66.711532	1.003
1527884640	2018-06-01	15:24:00	3.53	7.485	7.785	66.550714	1.003
1527885240	2018-06-01	15:34:00	3.53	7.476	7.902	67.535887	1.003
1527885840	2018-06-01	15:44:00	3.53	7.562	7.863	67.34533	1.002
1527886440	2018-06-01	15:54:00	3.53	7.476	7.897	67.493154	1.003
1527887040	2018-06-01	16:04:00	3.53	7.457	7.841	66.983098	1.003
1527887640	2018-06-01	16:14:00	3.53	7.342	7.913	67.406201	1.003
1527888240	2018-06-01	16:24:00	3.53	7.333	7.805	66.471399	1.003
1527888840	2018-06-01	16:34:00	3.53	7.294	7.677	65.31816	1.003
1527889440	2018-06-01	16:44:00	3.53	7.275	7.507	63.841683	1.003
1527890040	2018-06-01	16:54:00	3.53	7.285	7.605	64.691134	1.003
1527890640	2018-06-01	17:04:00	3.53	7.333	7.52	64.044193	1.003
1527891240	2018-06-01	17:14:00	3.53	7.266	7.353	62.518074	1.003
1527891840	2018-06-01	17:24:00	3.53	7.294	7.399	62.952854	1.003
1527892440	2018-06-01	17:34:00	3.53	7.304	7.372	62.738672	1.003
1527893040	2018-06-01	17:44:00	3.53	7.256	7.361	62.570578	1.003
