7450-541933
OS REV: 1.03 Sensor Cal: 1524164296
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1529591700,+3.54,+17.452,+10.030,+1.010
1529592300,+3.54,+17.495,+10.009,+1.009
1529592900,+3.54,+17.495,+10.012,+1.009
1529593500,+3.54,+17.537,+10.005,+1.010
1529594100,+3.54,+17.588, +9.994,+1.010
1529594700,+3.54,+17.562,+10.007,+1.010
1529595300,+3.54,+17.579, +9.989,+1.009
1529595900,+3.54,+17.621, +9.990,+1.010
1529596500,+3.54,+17.562,+10.001,+1.010
1529597100,+3.54,+17.511,+10.005,+1.009
1529597700,+3.54,+17.579,+10.000,+1.009
1529598300,+3.54,+17.562,+10.016,+1.010
1529598900,+3.54,+17.604, +9.998,+1.010
1529599500,+3.54,+17.689, +9.983,+1.009
1529600100,+3.54,+17.782, +9.968,+1.009
1529600700,+3.54,+17.849, +9.967,+1.010
1529601300,+3.54,+17.900, +9.965,+1.010
1529601900,+3.54,+17.942, +9.951,+1.010
1529602500,+3.54,+17.849, +9.975,+1.010
1529603100,+3.54,+17.900, +9.966,+1.009
1529603700,+3.54,+17.900, +9.977,+1.010
1529604300,+3.54,+17.925, +9.970,+1.010
1529604900,+3.54,+17.993, +9.951,+1.010
1529605500,+3.54,+17.942, +9.975,+1.009
1529606100,+3.54,+17.984, +9.946,+1.009
1529606700,+3.54,+17.875, +9.990,+1.010
1529607300,+3.54,+17.883, +9.978,+1.009
1529607900,+3.54,+17.900, +9.961,+1.009
1529608500,+3.54,+17.883, +9.965,+1.009
1529609100,+3.54,+17.849, +9.994,+1.009
1529609700,+3.54,+17.900,+10.000,+1.010
1529610300,+3.54,+17.917, +9.998,+1.009
1529610900,+3.54,+17.950,+10.004,+1.010
1529611500,+3.54,+18.009,+10.001,+1.010
1529612100,+3.54,+18.136, +9.971,+1.009
1529612700,+3.54,+18.195, +9.980,+1.010
1529613300,+3.54,+18.279, +9.964,+1.010
1529613900,+3.54,+18.363, +9.944,+1.010
1529614500,+3.54,+18.380, +9.954,+1.010
1529615100,+3.54,+18.447, +9.939,+1.010
1529615700,+3.54,+18.498, +9.931,+1.010
1529616300,+3.54,+18.540, +9.914,+1.009
1529616900,+3.54,+18.473, +9.956,+1.010
1529617500,+3.54,+18.540, +9.929,+1.010
1529618100,+3.54,+18.523, +9.939,+1.010
1529618700,+3.54,+18.540, +9.930,+1.009
1529619300,+3.54,+18.523, +9.944,+1.010
1529619900,+3.54,+18.531, +9.933,+1.009
1529620500,+3.54,+18.540, +9.938,+1.010
1529621100,+3.54,+18.506, +9.955,+1.010
1529621700,+3.54,+18.573, +9.928,+1.009
1529622300,+3.54,+18.548, +9.941,+1.009
1529622900,+3.54,+18.548, +9.950,+1.010
1529623500,+3.54,+18.515, +9.963,+1.010
1529624100,+3.54,+18.531, +9.968,+1.010
1529624700,+3.54,+18.531, +9.965,+1.010
