Unix.Timestamp	Date.CST	Time.CST	Battery	Temperature	Dissolved.Oxygen	Dissolved.Oxygen.Saturation	Q
1527677520	2018-05-30	05:52:00	3.55	19.527	8.501	94.865447	0.995
1527678120	2018-05-30	06:02:00	3.55	19.359	8.593	95.569134	0.994
1527678720	2018-05-30	06:12:00	3.55	19.266	8.634	95.845582	0.994
1527679320	2018-05-30	06:22:00	3.55	19.006	8.727	96.370982	0.994
1527679920	2018-05-30	06:32:00	3.55	18.821	8.781	96.604656	0.994
1527680520	2018-05-30	06:42:00	3.55	18.712	8.8	96.599691	0.995
1527681120	2018-05-30	06:52:00	3.55	18.408	8.861	96.668849	0.994
1527681720	2018-05-30	07:02:00	3.55	18.155	8.898	96.571275	0.994
1527682320	2018-05-30	07:12:00	3.54	17.742	8.977	96.604356	0.994
1527682920	2018-05-30	07:22:00	3.55	17.31	9.071	96.746202	0.995
1527683520	2018-05-30	07:32:00	3.55	17.098	9.105	96.681007	0.995
1527684120	2018-05-30	07:42:00	3.55	16.912	9.111	96.369438	0.994
1527684720	2018-05-30	07:52:00	3.55	16.937	9.11	96.409279	0.995
1527685320	2018-05-30	08:02:00	3.55	17.056	9.088	96.415941	0.994
1527685920	2018-05-30	08:12:00	3.55	17.158	9.089	96.631941	0.995
1527686520	2018-05-30	08:22:00	3.55	17.073	9.104	96.619969	0.995
1527687120	2018-05-30	08:32:00	3.54	17.107	9.084	96.476132	0.994
1527687720	2018-05-30	08:42:00	3.54	17.742	8.978	96.615117	0.995
1527688320	2018-05-30	08:52:00	3.54	18.223	8.892	96.64073	0.995
1527688920	2018-05-30	09:02:00	3.54	18.535	8.828	96.558657	0.995
1527689520	2018-05-30	09:12:00	3.54	18.712	8.792	96.511873	0.994
1527690120	2018-05-30	09:22:00	3.54	18.956	8.756	96.593466	0.994
1527690720	2018-05-30	09:32:00	3.54	19.124	8.717	96.490317	0.993
1527691320	2018-05-30	09:42:00	3.54	19.384	8.69	96.696533	0.995
1527691920	2018-05-30	09:52:00	3.54	19.569	8.654	96.654175	0.994
1527692520	2018-05-30	10:02:00	3.55	8.774	10.654	93.862668	0.992
1527693120	2018-05-30	10:12:00	3.55	5.085	11.499	92.399643	0.995
1527693720	2018-05-30	10:22:00	3.54	4.585	11.674	92.597836	0.995
1527694320	2018-05-30	10:32:00	3.54	4.494	11.701	92.592117	0.996
1527694920	2018-05-30	10:42:00	3.54	4.433	11.762	92.926745	0.996
1527695520	2018-05-30	10:52:00	3.54	4.433	11.779	93.061055	0.996
1527696120	2018-05-30	11:02:00	3.54	4.433	11.785	93.108458	0.995
1527696720	2018-05-30	11:12:00	3.54	4.444	11.779	93.087791	0.995
1527697320	2018-05-30	11:22:00	3.54	4.433	11.728	92.658125	0.995
1527697920	2018-05-30	11:32:00	3.54	4.332	11.705	92.232572	0.995
1527698520	2018-05-30	11:42:00	3.54	4.383	11.732	92.568713	0.995
1527699120	2018-05-30	11:52:00	3.54	4.413	11.713	92.491283	0.995
1527699720	2018-05-30	12:02:00	3.54	4.474	11.715	92.654539	0.995
1527700320	2018-05-30	12:12:00	3.54	4.464	11.718	92.654081	0.995
1527700920	2018-05-30	12:22:00	3.54	4.413	11.76	92.862417	0.995
1527701520	2018-05-30	12:32:00	3.54	4.413	11.759	92.85452	0.996
1527702120	2018-05-30	12:42:00	3.54	4.575	11.686	92.66888	0.995
1527702720	2018-05-30	12:52:00	3.54	4.454	11.692	92.42437	0.995
1527703320	2018-05-30	13:02:00	3.54	4.433	11.724	92.626522	0.995
1527703920	2018-05-30	13:12:00	3.54	4.444	11.699	92.455562	0.995
1527704520	2018-05-30	13:22:00	3.54	4.413	11.706	92.436008	0.995
1527705120	2018-05-30	13:32:00	3.54	4.464	11.691	92.440592	0.994
1527705720	2018-05-30	13:42:00	3.54	4.514	11.716	92.75919	0.995
1527706320	2018-05-30	13:52:00	3.54	4.554	11.764	93.236388	0.995
1527706920	2018-05-30	14:02:00	3.53	4.595	11.764	93.336015	0.995
1527707520	2018-05-30	14:12:00	3.54	4.665	11.739	93.307469	0.995
1527708120	2018-05-30	14:22:00	3.53	4.514	11.711	92.719603	0.995
1527708720	2018-05-30	14:32:00	3.53	4.504	11.734	92.877476	0.995
1527709320	2018-05-30	14:42:00	3.53	4.474	11.664	92.251177	0.994
1527709920	2018-05-30	14:52:00	3.53	4.322	11.725	92.365994	0.995
1527710520	2018-05-30	15:02:00	3.53	4.575	11.729	93.009866	0.995
1527711120	2018-05-30	15:12:00	3.53	4.454	11.711	92.574563	0.995
1527711720	2018-05-30	15:22:00	3.53	4.444	11.708	92.526688	0.995
1527712320	2018-05-30	15:32:00	3.53	4.413	11.715	92.507076	0.995
1527712920	2018-05-30	15:42:00	3.53	4.484	11.721	92.726186	0.995
1527713520	2018-05-30	15:52:00	3.53	4.363	11.73	92.504548	0.995
1527714120	2018-05-30	16:02:00	3.53	4.454	11.694	92.440179	0.995
1527714720	2018-05-30	16:12:00	3.53	4.423	11.754	92.839288	0.995
1527715320	2018-05-30	16:22:00	3.53	4.444	11.763	92.961345	0.995
1527715920	2018-05-30	16:32:00	3.53	4.454	11.734	92.756376	0.995
1527716520	2018-05-30	16:42:00	3.53	4.413	11.675	92.191217	0.995
1527717120	2018-05-30	16:52:00	3.53	4.373	11.678	92.118552	0.995
1527717720	2018-05-30	17:02:00	3.53	4.282	11.703	92.096191	0.995
1527718320	2018-05-30	17:12:00	3.53	4.292	11.676	91.907781	0.995
1527718920	2018-05-30	17:22:00	3.53	4.241	11.695	91.934427	0.995
1527719520	2018-05-30	17:32:00	3.53	4.221	11.689	91.839097	0.994
1527720120	2018-05-30	17:42:00	3.53	4.251	11.671	91.76981	0.995
1527720720	2018-05-30	17:52:00	3.53	4.282	11.679	91.907324	0.994
1527721320	2018-05-30	18:02:00	3.53	4.282	11.726	92.277188	0.995
1527721920	2018-05-30	18:12:00	3.53	4.343	11.707	92.274884	0.994
1527722520	2018-05-30	18:22:00	3.53	4.353	11.68	92.086154	0.994
1527723120	2018-05-30	18:32:00	3.53	4.332	11.679	92.027699	0.995
1527723720	2018-05-30	18:42:00	3.53	4.383	11.657	91.976942	0.995
1527724320	2018-05-30	18:52:00	3.53	4.272	11.719	92.19795	0.995
1527724920	2018-05-30	19:02:00	3.53	4.302	11.695	92.081445	0.995
1527725520	2018-05-30	19:12:00	3.53	4.302	11.688	92.02633	0.994
1527726120	2018-05-30	19:22:00	3.53	4.332	11.699	92.185294	0.994
1527726720	2018-05-30	19:32:00	3.53	4.322	11.7	92.169052	0.994
1527727320	2018-05-30	19:42:00	3.53	4.322	11.702	92.184807	0.994
1527727920	2018-05-30	19:52:00	3.53	4.353	11.665	91.967893	0.994
1527728520	2018-05-30	20:02:00	3.52	4.292	11.682	91.95501	0.994
1527729120	2018-05-30	20:12:00	3.52	4.322	11.667	91.909088	0.994
1527729720	2018-05-30	20:22:00	3.53	4.302	11.69	92.042078	0.994
1527730320	2018-05-30	20:32:00	3.52	4.322	11.683	92.035131	0.995
1527730920	2018-05-30	20:42:00	3.52	4.353	11.667	91.983661	0.994
1527731520	2018-05-30	20:52:00	3.52	4.343	11.685	92.101479	0.994
1527732120	2018-05-30	21:02:00	3.52	4.312	11.69	92.066175	0.995
1527732720	2018-05-30	21:12:00	3.52	4.322	11.68	92.011498	0.994
1527733320	2018-05-30	21:22:00	3.52	4.292	11.708	92.159669	0.994
1527733920	2018-05-30	21:32:00	3.52	4.312	11.686	92.034673	0.994
1527734520	2018-05-30	21:42:00	3.52	4.262	11.715	92.142338	0.994
1527735120	2018-05-30	21:52:00	3.52	4.312	11.688	92.050424	0.994
1527735720	2018-05-30	22:02:00	3.52	4.282	11.707	92.127668	0.995
1527736320	2018-05-30	22:12:00	3.52	4.322	11.7	92.169052	0.994
1527736920	2018-05-30	22:22:00	3.52	4.363	11.67	92.031379	0.994
1527737520	2018-05-30	22:32:00	3.52	4.343	11.721	92.385232	0.995
1527738120	2018-05-30	22:42:00	3.52	4.413	11.691	92.317561	0.994
1527738720	2018-05-30	22:52:00	3.52	4.393	11.717	92.474527	0.995
1527739320	2018-05-30	23:02:00	3.52	4.413	11.708	92.451801	0.994
1527739920	2018-05-30	23:12:00	3.52	4.403	11.747	92.735529	0.994
1527740520	2018-05-30	23:22:00	3.52	4.454	11.738	92.787996	0.994
1527741120	2018-05-30	23:32:00	3.52	4.373	11.747	92.662839	0.995
1527741720	2018-05-30	23:42:00	3.52	4.343	11.773	92.795098	0.994
1527742320	2018-05-30	23:52:00	3.52	4.383	11.741	92.639725	0.994
1527742920	2018-05-31	00:02:00	3.52	4.423	11.721	92.578637	0.994
1527743520	2018-05-31	00:12:00	3.52	4.383	11.752	92.726518	0.995
1527744120	2018-05-31	00:22:00	3.52	4.464	11.709	92.582918	0.994
1527744720	2018-05-31	00:32:00	3.52	4.413	11.716	92.514972	0.994
1527745320	2018-05-31	00:42:00	3.52	4.474	11.694	92.488449	0.994
1527745920	2018-05-31	00:52:00	3.52	4.444	11.722	92.637328	0.994
1527746520	2018-05-31	01:02:00	3.52	4.423	11.719	92.56284	0.995
1527747120	2018-05-31	01:12:00	3.52	4.403	11.716	92.490803	0.994
1527747720	2018-05-31	01:22:00	3.52	4.302	11.761	92.601101	0.994
1527748320	2018-05-31	01:32:00	3.52	4.383	11.719	92.466139	0.994
1527748920	2018-05-31	01:42:00	3.51	4.413	11.742	92.72028	0.995
1527749520	2018-05-31	01:52:00	3.51	4.413	11.765	92.901899	0.995
1527750120	2018-05-31	02:02:00	3.51	4.433	11.759	92.903043	0.995
1527750720	2018-05-31	02:12:00	3.51	4.383	11.767	92.844873	0.995
1527751320	2018-05-31	02:22:00	3.51	4.343	11.785	92.889682	0.995
1527751920	2018-05-31	02:32:00	3.51	4.413	11.745	92.74397	0.994
1527752520	2018-05-31	02:42:00	3.51	4.494	11.708	92.64751	0.994
1527753120	2018-05-31	02:52:00	3.51	4.383	11.745	92.671286	0.994
1527753720	2018-05-31	03:02:00	3.51	4.353	11.73	92.480358	0.994
1527754320	2018-05-31	03:12:00	3.51	4.373	11.709	92.363087	0.994
1527754920	2018-05-31	03:22:00	3.51	4.353	11.718	92.385749	0.994
1527755520	2018-05-31	03:32:00	3.51	4.322	11.714	92.279339	0.994
1527756120	2018-05-31	03:42:00	3.51	4.312	11.727	92.357574	0.994
1527756720	2018-05-31	03:52:00	3.51	4.292	11.771	92.655574	0.995
1527757320	2018-05-31	04:02:00	3.51	4.332	11.766	92.713238	0.995
1527757920	2018-05-31	04:12:00	3.51	4.363	11.709	92.338939	0.994
