# STATION: WINM4,,,,,,,,,,,,,,,,,,,,
# STATION NAME: WINDIGO,,,,,,,,,,,,,,,,,,,,
# LATITUDE: 47.911294,,,,,,,,,,,,,,,,,,,,
# LONGITUDE: -89.142583,,,,,,,,,,,,,,,,,,,,
# ELEVATION [ft]: 962,,,,,,,,,,,,,,,,,,,,
# STATE: MI,,,,,,,,,,,,,,,,,,,,
Station_ID,Date_Time,snow_interval_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,snow_depth_set_1,solar_radiation_set_1,precip_accum_set_1,water_temp_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Inches,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,volts,Inches,W/m**2,Inches,Fahrenheit,Miles/hour,Fahrenheit,gm,Degrees,Fahrenheit,Fahrenheit,Code,Fahrenheit
WINM4,09/14/2017 09:24 UTC,,59,95,1.01,128,4.99,13,,0,15.65,,4.99,57.99,25,138,57.56,,SE,
WINM4,09/14/2017 10:24 UTC,,57.99,96,2.01,136,5.99,13,,0,15.65,,5.99,57.99,25.2,152,56.84,,SE,
WINM4,09/14/2017 11:24 UTC,,57.99,96,1.01,139,4,13,,0,15.65,,4,57,25.2,126,56.84,,SE,
WINM4,09/14/2017 12:24 UTC,,59,97,0,,2.01,13,,7,15.65,,2.01,57.99,25.7,134,58.14,,,
WINM4,09/14/2017 13:24 UTC,,59,94,1.01,4,7,13.1,,37,15.65,,7,59,25.4,336,57.26,,N,
WINM4,09/14/2017 14:24 UTC,,62.01,89,0,,8.01,13.5,,97,15.65,,8.01,63,24.4,16,58.7,,,
WINM4,09/14/2017 15:24 UTC,,64,82,3,137,11.01,13.6,,226,15.65,,11.01,69.01,20.8,108,58.35,,SE,
WINM4,09/14/2017 16:24 UTC,,62.01,84,3,139,11.01,13.7,,204,15.65,,11.01,66,18.6,144,57.08,,SE,
WINM4,09/14/2017 17:24 UTC,,64.99,81,2.01,129,10,13.5,,309,15.65,,10,71.01,17.3,125,58.98,,SE,
WINM4,09/14/2017 18:24 UTC,,69.01,74,1.01,146,8.99,13.6,,314,15.65,,8.99,77,14.9,135,60.33,,SE,
WINM4,09/14/2017 19:24 UTC,,68,77,1.01,151,4.99,13.5,,212,15.65,,4.99,73.99,13,122,60.48,,SSE,
WINM4,09/14/2017 20:24 UTC,,66,77,1.01,338,4.99,13.7,,204,15.65,,4.99,70,12.9,120,58.54,,NNW,
WINM4,09/14/2017 21:24 UTC,,62.01,85,1.01,351,7,13.5,,222,15.65,,7,64.99,13.5,353,57.41,,N,
WINM4,09/14/2017 22:24 UTC,,60.01,89,1.01,353,7,13.9,,153,15.65,,7,62.01,14.7,346,56.73,,N,
WINM4,09/14/2017 23:24 UTC,,57.99,95,2.01,353,7,13.7,,40,15.65,,7,59,16.5,2,56.55,,N,
WINM4,09/15/2017 00:24 UTC,,57.99,97,1.01,359,10,13.5,,6,15.65,,10,57.99,18.5,345,57.13,,N,
WINM4,09/15/2017 01:24 UTC,,57.99,98,3,342,8.99,13.4,,0,15.65,,8.99,57.99,20.1,45,57.42,,NNW,
WINM4,09/15/2017 02:24 UTC,,57.99,98,1.01,162,13,13.3,,0,15.69,,13,57.99,21.7,352,57.42,,SSE,
WINM4,09/15/2017 03:24 UTC,,59,99,0,,4,13.2,,0,15.83,,4,59,23.3,116,58.72,,,
WINM4,09/15/2017 04:24 UTC,,59,99,0,,5.99,13.1,,0,15.86,,5.99,59,24.2,155,58.72,,,
WINM4,09/15/2017 05:24 UTC,,59,99,0,,24.99,13.1,,0,16.03,,24.99,59,24.8,240,58.72,,,
WINM4,09/15/2017 06:24 UTC,,59,100,2.01,139,8.01,13.1,,0,16.08,,8.01,59,25.4,120,59,,SE,
WINM4,09/15/2017 07:24 UTC,,59,100,0,,5.99,13.1,,0,16.21,,5.99,59,25.7,165,59,,,
WINM4,09/15/2017 08:24 UTC,,57,100,0,,3,13,,0,16.42,,3,57,25.9,150,57,,,
WINM4,09/15/2017 09:24 UTC,,57,100,1.01,355,10,13,,0,16.46,,10,57,26,337,57,,N,
WINM4,09/15/2017 10:24 UTC,,57,100,1.01,349,4.99,13,,0,16.46,,4.99,57,26.2,350,57,,N,
WINM4,09/15/2017 11:24 UTC,,55.99,100,1.01,352,5.99,13,,0,16.46,,5.99,55.99,26.3,19,55.99,,N,
WINM4,09/15/2017 12:24 UTC,,55,100,1.01,356,5.99,13,,6,16.46,,5.99,55.99,26.4,344,55,,N,
WINM4,09/15/2017 13:24 UTC,,55,100,1.01,346,7,13,,22,16.46,,7,55,26.4,334,55,,NNW,
WINM4,09/15/2017 14:24 UTC,,54,100,1.01,349,7,13.3,,62,16.46,,7,55,26.4,354,54,,N,
WINM4,09/15/2017 15:24 UTC,,55,99,0,,5.99,13.6,,129,16.46,,5.99,57.99,26,136,54.72,,,
WINM4,09/15/2017 16:24 UTC,,57,87,1.01,38,5.99,14.2,,312,16.46,,5.99,61,25.2,355,53.13,,NE,
WINM4,09/15/2017 17:24 UTC,,55.99,87,1.01,355,11.01,13.6,,343,16.46,,11.01,62.01,21.8,355,52.14,,N,
WINM4,09/15/2017 18:24 UTC,,55,87,2.01,4,8.01,13.6,,300,16.46,,8.01,62.01,18.9,9,51.16,,N,
WINM4,09/15/2017 19:24 UTC,,55.99,87,1.01,82,8.99,13.5,,256,16.46,,8.99,60.01,18.3,359,52.14,,E,
WINM4,09/15/2017 20:24 UTC,,55,90,1.01,355,7,14,,156,16.46,,7,57.99,17.7,1,52.09,,N,
WINM4,09/15/2017 21:24 UTC,,54,91,2.01,1,8.99,14,,107,16.46,,8.99,55.99,18.2,5,51.41,,N,
WINM4,09/15/2017 22:24 UTC,,53.01,93,1.01,37,8.99,13.8,,41,16.46,,8.99,54,19.7,338,51.02,,NE,
WINM4,09/15/2017 23:24 UTC,,52,97,1.01,41,8.99,13.6,,10,16.59,,8.99,52,21.3,56,51.17,,NE,
WINM4,09/16/2017 00:24 UTC,,52,98,1.01,72,8.99,13.5,,4,16.59,,8.99,52,23.3,7,51.45,,ENE,
WINM4,09/16/2017 01:24 UTC,,52,98,1.01,75,8.01,13.4,,0,16.59,,8.01,52,24.5,326,51.45,,ENE,
WINM4,09/16/2017 02:24 UTC,,52,98,0,,8.99,13.3,,0,16.59,,8.99,52,25.2,132,51.45,,,
WINM4,09/16/2017 03:24 UTC,,52,99,0,,4,13.2,,0,16.59,,4,52,25.7,353,51.72,,,
WINM4,09/16/2017 04:24 UTC,,52,99,1.01,102,4.99,13.2,,0,16.63,,4.99,52,26,155,51.72,,ESE,
WINM4,09/16/2017 05:24 UTC,,53.01,99,2.01,113,13,13.1,,0,16.63,,13,53.01,26.3,145,52.73,,ESE,
WINM4,09/16/2017 06:24 UTC,,53.01,100,1.01,125,8.99,13.1,,0,16.63,,8.99,53.01,26.4,135,53.01,,SE,
WINM4,09/16/2017 07:24 UTC,,54,100,1.01,135,8.99,13.1,,0,16.63,,8.99,54,26.5,145,54,,SE,
WINM4,09/16/2017 08:24 UTC,,53.01,100,0,,4.99,13,,0,16.63,,4.99,54,26.5,325,53.01,,,
WINM4,09/16/2017 09:24 UTC,,53.01,100,0,,4,13,,0,16.63,,4,53.01,26.5,2,53.01,,,
WINM4,09/16/2017 10:24 UTC,,53.01,100,0,,4,13,,0,16.64,,4,53.01,26.5,337,53.01,,,
WINM4,09/16/2017 11:24 UTC,,53.01,100,0,,8.99,13,,0,16.64,,8.99,53.01,26.5,353,53.01,,,
WINM4,09/16/2017 12:24 UTC,,54,100,0,,4,13,,10,16.64,,4,54,26.5,14,54,,,
WINM4,09/16/2017 13:24 UTC,,55,100,0,,3,13.3,,64,16.64,,3,55.99,26.4,351,55,,,
WINM4,09/16/2017 14:24 UTC,,55.99,100,0,,4,13.4,,53,16.64,,4,57,26.3,138,55.99,,,
WINM4,09/16/2017 15:24 UTC,,57.99,100,0,,4,14,,97,16.64,,4,60.01,26.3,354,57.99,,,
WINM4,09/16/2017 16:24 UTC,,64.99,100,0,,3,13.6,,200,16.64,,3,66.99,25.9,132,64.99,,,
WINM4,09/16/2017 17:24 UTC,,71.01,82,1.01,148,4,13.8,,344,16.64,,4,78.01,24,121,65.21,,SSE,
WINM4,09/16/2017 18:24 UTC,,71.01,79,1.01,260,4.99,13.6,,384,16.64,,4.99,75.99,19.8,247,64.14,,W,
WINM4,09/16/2017 19:24 UTC,,70,83,1.01,155,4.99,13.5,,189,16.64,,4.99,73,18.8,259,64.57,,SSE,
WINM4,09/16/2017 20:24 UTC,,72,76,1.01,261,7,13.9,,154,16.64,,7,73,16.9,245,63.99,,W,
WINM4,09/16/2017 21:24 UTC,,66.99,88,0,,4,13.8,,74,16.64,,4,69.01,17.2,252,63.29,,,
WINM4,09/16/2017 22:24 UTC,,62.01,94,1.01,346,3,13.6,,34,16.64,,3,64,18.8,338,60.25,,NNW,
WINM4,09/16/2017 23:24 UTC,,63,93,0,,4,13.6,,36,16.64,,4,63,20.2,297,60.93,,,
WINM4,09/17/2017 00:24 UTC,,63,95,0,,2.01,13.5,,10,16.64,,2.01,62.01,21.4,132,61.53,,,
WINM4,09/17/2017 01:24 UTC,,61,97,1.01,146,4,13.4,,0,16.64,,4,61,22,130,60.13,,SE,
WINM4,09/17/2017 02:24 UTC,,59,98,0,,3,13.3,,0,16.71,,3,60.01,22.7,113,58.43,,,
WINM4,09/17/2017 03:24 UTC,,57,99,1.01,34,4,13.2,,0,17.26,,4,57,24.2,340,56.72,,NE,
WINM4,09/17/2017 04:24 UTC,,60.01,100,0,,5.99,13.2,,0,17.28,,5.99,60.01,24.9,119,60.01,,,
WINM4,09/17/2017 05:24 UTC,,60.01,100,0,,4.99,13.1,,0,17.28,,4.99,60.01,25.5,149,60.01,,,
WINM4,09/17/2017 06:24 UTC,,57.99,100,0,,4,13.1,,0,17.29,,4,59,25.2,146,57.99,,,
WINM4,09/17/2017 07:24 UTC,,57,100,0,,3,13.1,,0,17.36,,3,57,26,120,57,,,
WINM4,09/17/2017 08:24 UTC,,57.99,100,2.01,128,7,13,,0,17.43,,7,57.99,26.2,133,57.99,,SE,
WINM4,09/17/2017 09:24 UTC,,57.99,100,0,,5.99,13,,0,17.45,,5.99,57.99,26.3,84,57.99,,,
WINM4,09/17/2017 10:24 UTC,,57,100,0,,3,13,,0,17.45,,3,57.99,26.3,241,57,,,
WINM4,09/17/2017 11:24 UTC,,55.99,100,0,,2.01,13,,0,17.45,,2.01,55.99,26.4,229,55.99,,,
WINM4,09/17/2017 12:24 UTC,,55.99,100,1.01,250,5.99,13,,5,17.45,,5.99,55.99,26.4,258,55.99,,WSW,
WINM4,09/17/2017 13:24 UTC,,57,100,2.01,247,8.99,13.1,,39,17.45,,8.99,57.99,26.3,220,57,,WSW,
WINM4,09/17/2017 14:24 UTC,,55,100,2.01,331,11.01,13.2,,45,17.45,,11.01,55.99,26.4,227,55,,NNW,
WINM4,09/17/2017 15:24 UTC,,55.99,94,0,,4,13.9,,140,17.45,,4,57,26.1,332,54.27,,,
WINM4,09/17/2017 16:24 UTC,,57,82,1.01,316,4.99,13.7,,189,17.45,,4.99,59,25.8,228,51.51,,NW,
WINM4,09/17/2017 17:24 UTC,,60.01,71,2.01,273,8.99,13.6,,527,17.45,,8.99,72,22.9,207,50.5,,W,
WINM4,09/17/2017 18:24 UTC,,57.99,69,3,260,14.99,13.5,,591,17.45,,14.99,68,15,241,47.79,,W,
WINM4,09/17/2017 19:24 UTC,,57.99,73,3,246,15.99,13.5,,147,17.45,,15.99,61,14.7,243,49.31,,WSW,
WINM4,09/17/2017 20:24 UTC,,57,74,3,230,13,13.8,,78,17.45,,13,57.99,15.1,228,48.72,,SW,
WINM4,09/17/2017 21:24 UTC,,60.01,75,2.01,247,17,13.8,,305,17.45,,17,60.01,16.3,267,52,,WSW,
WINM4,09/17/2017 22:24 UTC,,57,80,2.01,248,17,13.6,,235,17.45,,17,57.99,14.2,242,50.84,,WSW,
WINM4,09/17/2017 23:24 UTC,,55,88,1.01,279,10,13.6,,29,17.45,,10,54,16.3,235,51.48,,W,
WINM4,09/18/2017 00:24 UTC,,53.01,85,0,,4,13.4,,7,17.45,,4,51.01,18.1,255,48.58,,,
WINM4,09/18/2017 01:24 UTC,,52,77,1.01,333,3,13.4,,0,17.45,,3,50,19.6,330,44.94,,NNW,
WINM4,09/18/2017 02:24 UTC,,51.01,76,2.01,339,4,13.3,,0,17.45,,4,48.99,19.7,320,43.63,,NNW,
WINM4,09/18/2017 03:24 UTC,,51.01,78,2.01,341,4,13.2,,0,17.45,,4,48.99,19.9,347,44.32,,NNW,
WINM4,09/18/2017 04:24 UTC,,50,77,2.01,344,3,13.2,,0,17.45,,3,48,20.5,353,43,,NNW,
WINM4,09/18/2017 05:24 UTC,,48.99,77,1.01,343,3,13.1,,0,17.45,,3,46.99,20.6,359,42.02,,NNW,
WINM4,09/18/2017 06:24 UTC,,48.99,81,0,,2.01,13.1,,0,17.45,,2.01,46,21,347,43.35,,,
WINM4,09/18/2017 07:24 UTC,,48,82,1.01,343,2.01,13,,0,17.45,,2.01,46,21.9,344,42.71,,NNW,
WINM4,09/18/2017 08:24 UTC,,48,83,0,,2.01,13,,0,17.45,,2.01,46,21.9,338,43.03,,,
WINM4,09/18/2017 09:24 UTC,,46.99,87,0,,1.01,13,,0,17.45,,1.01,43,22.7,341,43.28,,,
WINM4,09/18/2017 10:24 UTC,,46.99,87,1.01,136,3,12.9,,0,17.45,,3,43,23.4,137,43.28,,SE,
WINM4,09/18/2017 11:24 UTC,,46.99,85,0,,2.01,12.9,,0,17.45,,2.01,43,24.1,125,42.66,,,
WINM4,09/18/2017 12:24 UTC,,48,82,0,,2.01,13,,10,17.45,,2.01,46,24.8,123,42.71,,,
